8100 -> error: 4.400440038004855
8125 -> error: 4.343718604104726
8150 -> error: 4.643192492939449
8175 -> error: 3.681519005990229
8200 -> error: 6.739415382364031
8225 -> error: 5.053522131889797
8250 -> error: 4.137674684092725
8275 -> error: 4.954615227380589
8300 -> error: 3.651744315991666
8325 -> error: 4.486739010692871
8350 -> error: 4.664713700678934
8375 -> error: 4.6896444882992725
8400 -> error: 7.671181082177414
8425 -> error: 5.962471260945218
8450 -> error: 4.753434796492106
8475 -> error: 5.121792789937586
8500 -> error: 6.513917255498001
8525 -> error: 4.629652827452008
8550 -> error: 4.897870141958669
8575 -> error: 5.5939486164655845
8600 -> error: 7.07617457045215
8625 -> error: 6.394786570956527
8650 -> error: 5.146557199733802
8675 -> error: 4.883088468763843
8700 -> error: 5.706791281958702
8725 -> error: 5.047893220681993
8750 -> error: 3.5193748989792817
8775 -> error: 5.661292426080263
8800 -> error: 4.93638018693613
8825 -> error: 5.534545606313076
8850 -> error: 5.721883280241312
8875 -> error: 6.434607883887313
8900 -> error: 5.713428794095983
8925 -> error: 5.159352426924329
8950 -> error: 3.066770573251674
8975 -> error: 2.9819161236721135
9000 -> error: 7.631281032389811
9025 -> error: 3.8547336608077294
9050 -> error: 4.949433018743789
9075 -> error: 2.5969587952903748
9100 -> error: 2.6580275029811116
9125 -> error: 7.216767802715461
9150 -> error: 6.567037702944496
9175 -> error: 2.8471923785209206
9200 -> error: 4.234164186980081
9225 -> error: 4.937694883725655
9250 -> error: 2.7713642806741032
9275 -> error: 4.119528175669723
9300 -> error: 2.9731185092498325
9325 -> error: 6.713831320926925
9350 -> error: 4.703068222767751
9375 -> error: 5.938741132616775
9400 -> error: 4.416510141346138
9425 -> error: 3.5373866679770445
9450 -> error: 3.813808779343231
9475 -> error: 4.983587603423961
9500 -> error: 3.765698190824629
9525 -> error: 3.984273871840092
9550 -> error: 3.4898030377966527
9575 -> error: 3.6954510846271624
9600 -> error: 5.758084791517801
9625 -> error: 6.339842546595696
9650 -> error: 4.921017139091017
9675 -> error: 4.10337641251544
9700 -> error: 3.324283298892251
9725 -> error: 5.439633531848945
9750 -> error: 5.0023994410529316
9775 -> error: 3.8157558609300684
9800 -> error: 4.915438460916943
9825 -> error: 4.072732568402997
9850 -> error: 7.344926455800173
9875 -> error: 3.874020360354525
9900 -> error: 5.551922116494617
9925 -> error: 5.0103728463628645
9950 -> error: 7.190480020811371
9975 -> error: 5.260820591088996
10000 -> error: 5.656665259866684
10025 -> error: 6.815483349950833
10050 -> error: 3.653121261660031
10075 -> error: 5.792254228313029
10100 -> error: 3.4455686720505105
10125 -> error: 7.744571137938866
10150 -> error: 4.783969679095273
10175 -> error: 4.915971588313392
10200 -> error: 5.203890540822727
10225 -> error: 3.8749293659294466
10250 -> error: 4.872088810191133
10275 -> error: 5.457276258928053
10300 -> error: 5.9917966076056075
10325 -> error: 3.3696094839069475
10350 -> error: 6.097495781340632
10375 -> error: 4.419992646086086
10400 -> error: 5.51127215008298
10425 -> error: 6.82942993823423
10450 -> error: 4.468850514808708
10475 -> error: 4.260254773683651
10500 -> error: 4.61789260360055
10525 -> error: 4.166412778112854
10550 -> error: 5.955427230255865
10575 -> error: 3.618051775838611
10600 -> error: 5.961202433086985
10625 -> error: 3.2546781469275716
10650 -> error: 5.684495069211911
10675 -> error: 4.8657610473037005
10700 -> error: 7.966620665647528
10725 -> error: 3.690223076339615
10750 -> error: 2.8424377767417246
10775 -> error: 5.48549768851898
10800 -> error: 2.796123552869686
10825 -> error: 6.498996363697364
10850 -> error: 4.845048890236227
10875 -> error: 6.713292944192218
10900 -> error: 5.840540693153238
10925 -> error: 3.7182061575071548
10950 -> error: 3.4501936540294627
10975 -> error: 3.7215429764889847
11000 -> error: 5.232575155521296
11025 -> error: 3.7240416759777197
11050 -> error: 3.3410246964118198
11075 -> error: 5.370920451749722
11100 -> error: 4.054842260564107
11125 -> error: 4.579980467708866
11150 -> error: 2.856987461905094
11175 -> error: 5.720128961456495
11200 -> error: 5.836118559984144
11225 -> error: 4.731592348882758
11250 -> error: 3.189009664229603
11275 -> error: 6.22329223984301
11300 -> error: 5.6948416139784594
11325 -> error: 5.39271217519461
